,Route_name,Route_link,Bus_name,Bus_type,Depature_time,Duration,Reaching_time,Rating,Price,Seat_Available
81,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,BSR Tours And Travels,A/C Seater / Sleeper (2+1),23:59,06h 01m,06:00,4.7,INR 580,28 Seats available
82,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri Rama Travels,A/C Seater / Sleeper (2+1),01:30,05h 15m,06:45,4.1,INR 555,16 Seats available
83,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,DMR Travels,A/C Sleeper (2+1),02:00,03h 30m,05:30,3.6,INR 650,9 Seats available
84,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri Krishna Travels,Volvo Multi-Axle A/C Sleeper (2+1),02:00,04h 00m,06:00,3.6,INR 800,14 Seats available
85,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Mahadevv travels,Non A/C Seater / Sleeper (2+1),02:20,03h 10m,05:30,3.5,INR 399,24 Seats available
86,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Siri Tours and Travels,A/C Seater / Sleeper (2+1),02:29,05h 00m,07:29,3.5,INR 450,22 Seats available
87,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri Krishna Travels,Non A/C Seater / Sleeper (2+1),04:00,03h 30m,07:30,3.6,INR 600,13 Seats available
88,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,SVN TOURS & TRAVELS,A/C Semi Sleeper / Sleeper (2+1),06:00,05h 20m,11:20,3.1,INR 700,25 Seats available
89,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,SVN TOURS & TRAVELS,A/C Semi Sleeper / Sleeper (2+1),08:05,02h 55m,11:00,3.1,INR 600,18 Seats available
90,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Orange Tours And Travels,A/C Sleeper (2+1),17:30,04h 20m,21:50,3.0,INR 700,28 Seats available
91,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),23:40,05h 20m,05:00,3.1,INR 410,37 Seats available
92,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,BSR Tours And Travels,A/C Sleeper (2+1),23:59,06h 01m,06:00,4.6,INR 780,15 Seats available
93,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),23:40,04h 20m,04:00,4.5,494,25 Seats available
94,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri Venkateswara Travels,Non A/C Seater / Sleeper (2+1),23:45,06h 15m,06:00,3.5,INR 450,29 Seats available
95,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri KVR Travels,A/C Seater / Sleeper (2+1),23:58,05h 02m,05:00,3.0,INR 510,31 Seats available
96,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri Krishna Travels(VGN),Non A/C Seater / Sleeper (2+1),23:59,06h 11m,06:10,3.1,INR 500,25 Seats available
97,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,SAIRAJ TRAVELS,Non A/C Seater / Sleeper (2+1),23:59,06h 16m,06:15,4.2,INR 500,24 Seats available
98,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Bharathi Tours & Travels,A/C Sleeper (2+1),23:59,05h 01m,05:00,4.5,711,29 Seats available
99,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,SAIRAJ TRAVELS,A/C Sleeper (2+1),23:59,05h 31m,05:30,5.0,INR 750,22 Seats available
100,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),23:59,05h 01m,05:00,4.5,441,30 Seats available
101,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Nani’s Sai Krishna Travels,Non A/C Seater / Sleeper (2+1),23:59,05h 01m,05:00,3.6,INR 470,19 Seats available
102,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Nani’s Sai Krishna Travels,Non A/C Seater / Sleeper (2+1),23:59,05h 01m,05:00,3.6,INR 470,32 Seats available
103,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),00:30,05h 00m,05:30,3.1,INR 500,32 Seats available
104,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),00:30,04h 30m,05:00,3.4,INR 600,21 Seats available
105,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Mozo travels,A/C Seater / Sleeper (2+1),01:30,04h 30m,06:00,4.4,INR 599,30 Seats available
106,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Morning Star Travels,A/C Sleeper (2+1),00:30,04h 15m,04:45,1.3,INR 600,6 Seats available
107,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Morning Star Travels,A/C Sleeper (2+1),01:00,03h 35m,04:35,1.3,INR 600,1 Seat available
108,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sai Krishna Bus Service,NON AC Seater / Sleeper 2+1,01:00,04h 15m,05:15,2.6,744,42 Seats available
109,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Morning Star Travels,Scania AC Multi Axle Sleeper (2+1),18:00,03h 45m,21:45,1.3,INR 690,17 Seats available
110,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri Krishna Travels(VGN),NON A/C Hi-Tech (2+2),23:55,05h 30m,05:25,2.6,INR 450,27 Seats available
111,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Orange Tours And Travels,Bharat Benz A/C Sleeper (2+1),00:40,04h 20m,05:00,2.1,INR 750,30 Seats available
112,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,RRR Travels,A/C Sleeper (2+1),23:50,05h 40m,05:30,4.7,INR 900,26 Seats available
113,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,MAHABAHUSRIKVRTRAVELS,A/C Seater / Sleeper (2+1),02:00,04h 35m,06:35,3.4,990,38 Seats available
114,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,SRI VEERANJANEYA TOURS AND TRAVELS,NON A/C Semi Sleeper (2+2),05:00,01h 00m,06:00,2.9,INR 3000,15 Seats available
115,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 35188,VENNELA (A.C. SLEEPER),00:40,05h 45m,06:25,4.9,INR 737,14 Seats available
116,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3563,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",01:00,06h 15m,07:15,3.5,INR 412,27 Seats available
117,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 35266,VENNELA (A.C. SLEEPER),01:25,05h 45m,07:10,4.1,INR 737,7 Seats available
118,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3590,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",01:45,06h 15m,08:00,4.7,INR 412,32 Seats available
119,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3058,VENNELA (A.C. SLEEPER),02:10,05h 45m,07:55,3.9,INR 737,11 Seats available
120,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 35197,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),03:10,05h 25m,08:35,4.8,INR 633,45 Seats available
121,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 35190,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),04:10,05h 20m,09:30,3.6,INR 633,42 Seats available
122,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3558,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),04:20,05h 00m,09:20,4.4,INR 633,8 Seats available
123,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 35267,INDRA(A.C. Seater),04:40,05h 24m,10:04,3.4,INR 498,21 Seats available
124,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3540,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",04:45,07h 20m,12:05,3.6,INR 412,4 Seats available
125,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3586,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),05:10,05h 15m,10:25,4.3,INR 720,22 Seats available
126,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 35196,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",05:50,07h 00m,12:50,4.1,INR 412,19 Seats available
127,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 35062,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",05:55,06h 55m,12:50,3.4,INR 412,30 Seats available
128,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 35274,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),06:10,05h 24m,11:34,3.8,INR 720,15 Seats available
129,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 4045,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",06:15,07h 35m,13:50,3.7,INR 412,24 Seats available
